field_id,zone_id,brig_id
22050177,B01Z01,22040349
22040204,B01Z01,22040349
22050178,B01Z02,22040349
22040205,B01Z02,22040349
22050179,B01Z03,22040349
22040214,B01Z03,22040349
22050180,B01Z04,22040349
22040215,B01Z04,22040349
22050181,B01Z05,22040349
22040278,B01Z05,22040349
22050183,B02Z01,22040350
22040216,B02Z01,22040350
22050184,B02Z01,22040350
22040219,B02Z01,22040350
22050185,B02Z01,22040350
22040220,B02Z01,22040350
22050186,B02Z02,22040350
22040225,B02Z02,22040350
22050187,B02Z02,22040350
22040230,B02Z02,22040350
22050188,B03Z01,22040351
22040279,B03Z01,22040351
22050189,B03Z02,22040351
22040280,B03Z02,22040351
22050190,B04Z01,22040353
22040236,B04Z01,22040353
22050239,B04Z02,22040353
22040238,B04Z02,22040353
22050240,B04Z03,22040353
22040239,B04Z03,22040353
22050241,B04Z04,22040353
22040244,B04Z04,22040353
22050242,B04Z05,22040353
22040281,B04Z05,22040353
22050243,B05Z01,22040361
22040282,B05Z01,22040361
22050254,B05Z02,22040361
22040327,B05Z02,22040361
22050255,B05Z03,22040361
22040284,B05Z03,22040361
22050256,B05Z04,22040361
22040247,B05Z04,22040361
22040285,B05Z05,22040361
22040286,B05Z06,22040361
22050257,B06Z01,22040362
22040287,B06Z01,22040362
22050259,B06Z02,22040362
22040288,B06Z02,22040362
22050260,B06Z03,22040362
22040289,B06Z03,22040362
22050261,B06Z04,22040362
22040331,B06Z04,22040362
22050262,B06Z05,22040362
22040291,B06Z05,22040362
22050263,B07Z01,22040363
22040298,B07Z01,22040363
22050264,B07Z02,22040363
22040299,B07Z02,22040363
22050265,B07Z03,22040363
22040300,B07Z03,22040363
22050266,B07Z04,22040363
22040301,B07Z04,22040363
22050326,B07Z05,22040363
22040308,B07Z05,22040363
22050327,B07Z06,22040363
22040309,B07Z06,22040363
22050328,B07Z07,22040363
22040310,B07Z07,22040363
22050329,B07Z07,22040363
22040311,B07Z07,22040363
22040312,B08Z01,22040367
22040313,B08Z02,22040367
22040314,B08Z03,22040367
22040315,B08Z04,22040367
22040283,B08Z05,22040367
22040316,B08Z06,22040367
22050331,B08Z07,22040367
22040317,B08Z07,22040367
22050332,B08Z08,22040367
22040318,B08Z08,22040367
22050333,B09Z01,22040368
22040319,B09Z01,22040368
22050334,B09Z02,22040368
22040320,B09Z02,22040368
22050335,B09Z03,22040368
22040321,B09Z03,22040368
22040322,B09Z04,22040368
22040324,B09Z05,22040368
22040325,B09Z06,22040368
22040326,B09Z07,22040368
22050336,B10Z01,22040370
22040323,B10Z01,22040370
22050337,B10Z02,22040370
22040328,B10Z02,22040370
22040330,B10Z03,22040370
22050338,B10Z04,22040370
22050339,B10Z04,22040370
22040332,B10Z04,22040370
22050341,B10Z05,22040370
22040333,B10Z05,22040370
22050342,B11Z13,22040371
22040334,B11Z13,22040371
22050343,B11Z14,22040371
22040335,B11Z14,22040371
22040336,B11Z15,22040371
22040337,B11Z16,22040371
22050345,B11Z17,22040371
22040339,B11Z17,22040371
22050346,B11Z18,22040371
22040340,B11Z18,22040371
22040227,B121AZ01,22040352
22040229,B121AZ02,22040352
22040226,B123BZ01,22040352
22040394,B123BZ01,22040352
22040221,B123BZ02,22040352
22040223,B123CZ01,22040352
22040228,B123CZ02,22040352
22040177,B123DZ01,22040352
22040397,B123DZ01,22040352
22040234,B123DZ02,22040352
22040224,B128AZ01,22040352
22040222,B128AZ02,22040352
22040217,B131BZ01,22040369
22040207,B131BZ02,22040369
22040208,B133BZ01,22040369
22040069,B133BZ01,22040369
22040218,B133BZ02,22040369
22040203,B135CZ01,22040369
22040209,B135CZ02,22040369
22040202,B137AZ01,22040369
22040202,B137AZ01,22040369
22040201,B137AZ02,22040369
22040242,B141CZ01,22040341
22040398,B141CZ01,22040341
22040232,B141CZ02,22040341
22040231,B142BZ01,22040341
22040393,B142BZ01,22040341
22040235,B142BZ02,22040341
22040240,B144CZ01,22040341
22040243,B144CZ02,22040341
